Artist,Title
Various Artists,Pell - New Music Tuesday Intro
Graham Candy,Holding Up Balloons
Death Cab for Cutie,The Ghosts Of Beverly Drive
Jason Derulo,Want To Want Me
Mumford & Sons,Believe
Olly Murs,Beautiful to Me
Snoop Dogg,Peaches N Cream
Wiz Khalifa,See You Again (feat. Charlie Puth)
The Chainsmokers,Let You Go - Radio Edit
Madonna,Iconic
Coleman Hell,Thumbalina
Lord Huron,The World Ender
Handsome Ghost,Steps
Kodaline,Autopilot
Marina and The Diamonds,Forget
Sam Smith,Lay Me Down
Skylar Grey,Addicted To Love
Laura Welsh,Break The Fall
Conrad Sewell,Hold Me Up
The Wombats,Give Me A Try
All Time Low,Kids In The Dark
Christine and the Queens,Tilted
The Japanese House,Still
Madeon,Home
Big Data,Get Some Freedom (feat. Dragonette)
AWOLNATION,Run
La+ch,Tastey
Holly Miranda,All I Want Is to Be Your Girl
Best Coast,Heaven Sent
Pell,Runaway - Remix
Empire Cast,Keep It Movin' (feat. Serayah McNeill and Yazz)
Nick Catchdubs,Full House (feat. Troy Ave & Heems)
MOD SUN,1970
Joywave,Bad Dreams
Kate Boy,Higher
VÉRITÉ,Wasteland
Sleeping With Sirens,Fly
Incubus,Trust Fall
Meg Myers,Sorry
Royal Tongues,The Balance
All Time Low,Kids In The Dark
Speaker Of The House,Human Contact - Speaker of the House Remix
The Knocks,Dancing With Myself
Morgan Page,Open Heart (feat. Lissie)
Diego Boneta,The Warrior
Andrew Combs,Nothing to Lose
Striking Matches,Make A Liar Out Of Me
Van Morrison,Irish Heartbeat
Brothers Osborne,Stay A Little Longer - Extended Version
Luke Bryan,Like We Ain't Ever
Anderson East,Satisfy Me
Tobias Jesso Jr.,Without You
Matthew E. White,Holy Moly
The Amazing,Circles
The Bright Light Social Hour,Dreamlove
